sentences,cleaned_text,sentiment_value,word_count,category,cleaned_text_1,polarity
an autobiography,autobiographi,0,2,Neutral,['autobiographi'],0.0
avul pakir jainulabdeen abdul kalam has,avul pakir jainulabdeen abdul kalam,0,6,Neutral,"['avul', 'pakir', 'jainulabdeen', 'abdul', 'kalam']",0.0
come to personally represent to many of his countrymen the,come person repres mani countrymen,0,10,Neutral,"['come', 'person', 'repre', 'mani', 'countryman']",0.0
best aspects of indian life born in 1931 the son of a little,best aspect indian life born son littl,3,13,Positive,"['good', 'aspect', 'indian', 'life', 'bear', 'son', 'littl']",1.0
educated boatowner in rameswaram tamilnadu he had,educ boatown rameswaram tamilnadu,0,7,Neutral,"['educ', 'boatown', 'rameswaram', 'tamilnadu']",0.0
an unparalleled career as a defence scientist culminating,unparallel career defenc scientist culmin,0,8,Neutral,"['unparallel', 'career', 'defenc', 'scientist', 'culmin']",0.0
in the highest civilian award of india the bharat ratna,highest civilian award india bharat ratna,3,10,Positive,"['high', 'civilian', 'award', 'india', 'bharat', 'ratna']",0.0
as chief of the country’s defence research and,chief countri defenc research,0,8,Neutral,"['chief', 'countri', 'defenc', 'research']",0.0
development programme kalam demonstrated the great,develop programm kalam demonstr great,3,6,Positive,"['develop', 'programm', 'kalam', 'demonstr', 'great']",0.8
potential for dynamism and innovation that existed in,potenti dynam innov exist,1,8,Positive,"['potenti', 'dynam', 'innov', 'exist']",0.0
seemingly moribund research establishments this is the,seemingli moribund research establish,0,7,Neutral,"['seemingli', 'moribund', 'research', 'establish']",0.0
story of kalam’s rise from obscurity and his personal and,stori kalam rise obscur person,0,10,Neutral,"['stori', 'kalam', 'rise', 'obscur', 'person']",0.0
professional struggles as well as the story of agni prithvi,profession struggl well stori agni prithvi,-2,10,Negative,"['profession', 'struggl', 'stori', 'agni', 'prithvi']",0.0
akash trishul a nd nag  missiles that have become,akash trishul nd nag missil becom,0,9,Neutral,"['akash', 'trishul', 'nag', 'missil', 'becom']",0.0
household names in india and that have raised the nation to,household name india rais nation,0,11,Neutral,"['household', 'india', 'rais', 'nation']",0.0
the level of a missile power of international recokoning,level missil power intern recokon,0,9,Neutral,"['level', 'missil', 'power', 'intern', 'recokon']",0.0
at the same time as he has helped create india’s,time help creat india,2,10,Positive,"['time', 'help', 'creat', 'india']",0.0
awesome weaponry kalam has maintained the ascetic,awesom weaponri kalam maintain ascet,4,7,Positive,"['awesom', 'weaponri', 'kalam', 'maintain', 'ascet']",0.0
rigour of his personal life working 18 hours a day and,rigour person life work hour day,0,11,Neutral,"['rigour', 'person', 'life', 'work', 'hour', 'day']",0.0
practicing the veena with characteristic modesty kalam,practic veena characterist modesti kalam,0,7,Neutral,"['practic', 'veena', 'characterist', 'modesti', 'kalam']",0.0
